iter	Passed	Remaining
399	74347	297389
400	74547	297262
401	74704	296959
402	74886	296759
403	75060	296524
404	75260	296395
405	75448	296219
406	75637	296044
407	75839	295923
408	76041	295800
409	76244	295678
410	76423	295467
411	76591	295213
412	76758	294952
413	76928	294705
414	77169	294732
415	77390	294678
416	77570	294471
417	77756	294282
418	77939	294086
419	78155	294014
420	78349	293856
421	78552	293733
422	78743	293566
423	78935	293400
424	79151	293324
425	79366	293245
426	79574	293140
427	79766	292973
428	79955	292798
429	80144	292620
430	80361	292545
431	80573	292451
432	80750	292230
433	80909	291944
434	81078	291695
435	81265	291510
436	81456	291340
437	81643	291158
438	81829	290971
439	82007	290754
440	82189	290550
441	82378	290375
442	82544	290117
443	82725	289910
444	82956	289880
445	83151	289725
446	83320	289477
447	83491	289238
448	83701	289133
449	83873	288897
450	84104	288863
451	84355	288900
452	84622	288986
453	84861	288978
454	85120	289035
455	85328	288920
456	85516	288736
457	85732	288646
458	85952	288568
459	86159	288448
460	86252	287944
461	86404	287640
462	86570	287382
463	86729	287104
464	86897	286853
465	87018	286451
466	87181	286186
467	87375	286022
468	87562	285839
469	87729	285589
470	87894	285330
471	88081	285145
472	88295	285045
473	88478	284847
474	88601	284457
475	88763	284191
476	88976	284089
477	89182	283966
478	89382	283822
479	89560	283607
480	89734	283383
481	89927	283215
482	90123	283058
483	90283	282788
484	90421	282449
485	90584	282190
486	90746	281927
487	90899	281638
488	90972	281102
489	91141	280865
490	91342	280726
491	91558	280629
492	91736	280418
493	91918	280221
494	92089	279988
495	92258	279750
496	92431	279527
497	92660	279468
498	92924	279517
499	93131	279393
500	93295	279141
501	93456	278879
502	93648	278711
503	93856	278588
504	94052	278432
505	94225	278206
506	94386	277945
507	94501	277552
508	94681	277349
509	94852	277119
510	95013	276859
511	95178	276611
512	95337	276347
513	95505	276112
514	95664	275848
515	95822	275583
516	95985	275332
517	96089	274912
518	96248	274651
519	96402	274377
520	96577	274162
521	96781	274029
522	96998	273932
523	97184	273748
524	97351	273512
525	97544	273348
526	97746	273208
527	97932	273024
528	98134	272884
529	98325	272713
530	98494	272483
531	98718	272404
532	98908	272229
533	99123	272126
534	99321	271974
535	99505	271782
536	99690	271595
537	99907	271494
538	100079	271272
539	100238	271015
540	100400	270766
541	100524	270414
542	100726	270272
543	100914	270095
544	101116	269952
545	101316	269805
546	101490	269589
547	101650	269337
548	101834	269148
549	102069	269093
550	102308	269046
551	102479	268824
552	102645	268585
553	102839	268421
554	103030	268250
555	103205	268036
556	103360	267773
557	103505	267482
558	103648	267186
559	103834	267002
560	104043	266877
561	104229	266693
562	104430	266548
563	104605	266336
564	104831	266252
565	105088	266247
566	105313	266162
567	105571	266159
568	105734	265915
569	105894	265666
570	106068	265450
571	106270	265304
572	106547	265345
573	106712	265107
574	106860	264828
575	107013	264560
576	107185	264342
577	107364	264138
578	107616	264116
579	107772	263855
580	107921	263579
581	108070	263305
582	108232	263061
583	108391	262812
584	108545	262549
585	108789	262504
586	108967	262301
587	109145	262097
588	109318	261881
589	109501	261689
590	109706	261550
591	109926	261446
592	110105	261245
593	110271	261011
594	110455	260824
595	110628	260607
596	110776	260333
597	110927	260068
598	111099	259849
599	111258	259602
600	111419	259361
601	111612	259192
602	111781	258970
603	111999	258859
604	112183	258671
605	112364	258475
606	112541	258271
607	112710	258047
608	112884	257836
609	113087	257690
610	113300	257567
611	113553	257537
612	113865	257635
613	114028	257399
614	114198	257177
615	114520	257299
616	114749	257209
617	114943	257042
618	115159	256922
619	115323	256687
620	115486	256451
621	115575	256049
622	115752	255844
623	115916	255610
624	116097	255414
625	116253	255164
626	116412	254918
627	116495	254508
628	116660	254279
629	116822	254041
630	116985	253808
631	117146	253570
632	117313	253345
633	117509	253182
634	117761	253140
635	117997	253064
636	118240	253001
637	118465	252899
638	118683	252782
639	118906	252677
640	119084	252472
641	119243	252230
642	119400	251985
643	119560	251744
644	119738	251544
645	119899	251306
646	120064	251078
647	120219	250828
648	120372	250574
649	120529	250329
650	120685	250083
651	120836	249827
652	120997	249592
653	121206	249456
654	121433	249354
655	121796	249533
656	121983	249351
657	122175	249177
658	122338	248947
659	122544	248802
660	122781	248721
661	122923	248447
662	123184	248412
663	123424	248336
664	123625	248181
665	123808	247988
666	123987	247789
667	124162	247580
668	124321	247342
669	124486	247115
670	124749	247082
671	124925	246876
672	125083	246634
673	125244	246400
674	125465	246283
675	125764	246320
676	125934	246101
677	126102	245880
678	126331	245779
679	126525	245609
680	126722	245442
681	126923	245285
682	127123	245126
683	127298	244919
684	127489	244742
685	127679	244563
686	127871	244389
687	128020	244131
688	128193	243921
689	128355	243690
690	128521	243465
691	128669	243207
692	128830	242973
693	128983	242727
694	129145	242495
695	129313	242277
696	129482	242059
697	129647	241834
698	129826	241637
699	129982	241396
700	130174	241222
701	130384	241081
702	130595	240942
703	130791	240775
704	130949	240538
705	131124	240332
706	131299	240128
707	131485	239941
708	131645	239710
709	131795	239460
710	131956	239228
711	132118	239001
712	132284	238780
713	132449	238556
714	132603	238315
715	132766	238089
716	132903	237816
717	133078	237614
718	133261	237424
719	133429	237207
720	133619	237030
721	133787	236815
722	133960	236607
723	134191	236503
724	134426	236405
725	134628	236248
726	134806	236050
727	134965	235819
728	135139	235613
729	135314	235410
730	135474	235180
731	135625	234935
732	135800	234733
733	135978	234535
734	136152	234329
735	136337	234145
736	136509	233936
737	136670	233711
738	136824	233472
739	136983	233242
740	137147	233020
741	137308	232795
742	137448	232534
743	137605	232301
744	137775	232092
745	137965	231914
746	138186	231790
747	138370	231603
748	138532	231380
749	138693	231156
750	138869	230956
751	139053	230769
752	139174	230478
753	139344	230270
754	139493	230025
755	139666	229821
756	139827	229597
757	139982	229364
758	140136	229129
759	140290	228895
760	140450	228670
761	140616	228455
762	140787	228249
763	140947	228024
764	141107	227801
765	141275	227590
766	141468	227418
767	141676	227272
768	141869	227102
769	142047	226907
770	142213	226693
771	142398	226509
772	142582	226324
773	142732	226084
774	142892	225862
775	143062	225655
776	143224	225435
777	143384	225213
778	143553	225005
779	143728	224806
780	143889	224585
781	144053	224369
782	144220	224159
783	144423	224003
784	144586	223787
785	144745	223564
786	144910	223350
787	145124	223211
788	145345	223083
789	145557	222943
790	145752	222774
791	145933	222585
792	146096	222368
793	146281	222185
794	146430	221947
795	146593	221731
796	146749	221505
797	146868	221223
798	147040	221020
799	147199	220798
800	147353	220570
801	147513	220351
802	147661	220113
803	147816	219886
804	147998	219699
805	148160	219482
806	148328	219276
807	148490	219060
808	148654	218847
809	148840	218666
810	149052	218524
811	149270	218390
812	149382	218101
813	149544	217886
814	149727	217702
815	149903	217507
816	150067	217294
817	150225	217074
818	150391	216864
819	150557	216655
820	150711	216429
821	150813	216129
822	150981	215923
823	151138	215702
824	151298	215485
825	151460	215272
826	151617	215050
827	151778	214835
828	151935	214615
829	152095	214399
830	152264	214195
831	152474	214051
832	152687	213909
833	153114	214066
834	153322	213916
835	153501	213726
836	153697	213559
837	153909	213416
838	154275	213485
839	154504	213363
840	154670	213154
841	154838	212948
842	155018	212760
843	155160	212518
844	155329	212314
845	155495	212106
846	155688	211934
847	155881	211762
848	156087	211609
849	156286	211446
850	156469	211262
851	156678	211111
852	156880	210951
853	157113	210833
854	157334	210699
855	157542	210546
856	157767	210418
857	158010	210312
858	158207	210145
859	158374	209937
860	158535	209722
861	158736	209561
862	158900	209350
863	159058	209132
864	159204	208898
865	159368	208687
866	159509	208447
867	159656	208215
868	159806	207987
869	159982	207793
870	160143	207580
871	160294	207353
872	160448	207131
873	160609	206917
874	160772	206707
875	161122	206736
876	161337	206592
877	161533	206423
878	161749	206280
879	161951	206119
880	162130	205929
881	162301	205729
882	162473	205530
883	162660	205349
884	162868	205195
885	163043	205000
886	163199	204781
887	163347	204551
888	163527	204363
889	163679	204139
890	163844	203932
891	164001	203714
892	164166	203507
893	164315	203280
894	164487	203082
895	164587	202795
896	164755	202591
897	164912	202375
898	165074	202165
899	165270	201997
900	165373	201715
901	165587	201568
902	165800	201420
903	166014	201273
904	166193	201085
905	166361	200882
906	166518	200667
907	166717	200501
908	166941	200366
909	167120	200177
910	167289	199976
911	167442	199755
912	167591	199530
913	167745	199312
914	167905	199100
915	168062	198886
916	168209	198659
917	168373	198453
918	168556	198269
919	168652	197983
920	168832	197796
921	169059	197663
922	169289	197534
923	169510	197395
924	169769	197300
925	170040	197217
926	170267	197083
927	170468	196920
928	170669	196756
929	170812	196526
930	170994	196341
931	171169	196146
932	171353	195963
933	171551	195796
934	171691	195563
935	171911	195421
936	172110	195254
937	172313	195092
938	172528	194944
939	172711	194759
940	172880	194559
941	173050	194359
942	173212	194151
943	173352	193920
944	173512	193709
945	173684	193512
946	173900	193365
947	174114	193215
948	174318	193054
949	174500	192868
950	174692	192694
951	174868	192502
952	175072	192340
953	175254	192155
954	175417	191948
955	175576	191738
956	175735	191527
957	175882	191304
958	176039	191091
959	176211	190896
960	176402	190720
961	176603	190556
962	176820	190407
963	177032	190254
964	177224	190080
965	177418	189907
966	177634	189758
967	177882	189643
968	178020	189411
969	178239	189264
970	178422	189079
971	178577	188865
972	178730	188650
973	178901	188452
974	179098	188283
975	179280	188097
976	179432	187880
977	179610	187691
978	179778	187491
979	179938	187282
980	180090	187066
981	180254	186862
982	180426	186667
983	180605	186478
984	180778	186284
985	180944	186083
986	181101	185872
987	181212	185614
988	181360	185395
989	181531	185198
990	181728	185029
991	181950	184885
992	182205	184773
993	182444	184646
994	182655	184491
995	182875	184344
996	183118	184221
997	183349	184084
998	183537	183904
999	183728	183728
1000	183902	183535
1001	184063	183328
1002	184213	183111
1003	184376	182907
1004	184530	182693
1005	184688	182484
1006	184854	182284
1007	185021	182084
1008	185201	181898
1009	185355	181685
1010	185518	181481
1011	185730	181325
1012	185938	181166
1013	186160	181019
1014	186345	180837
1015	186542	180666
1016	186730	180487
1017	186956	180344
1018	187190	180209
1019	187428	180077
1020	187615	179897
1021	187799	179714
1022	188016	179561
1023	188204	179382
1024	188363	179174
1025	188532	178977
1026	188687	178766
1027	188847	178560
1028	189006	178352
1029	189171	178152
1030	189324	177939
1031	189484	177733
1032	189638	177522
1033	189809	177326
1034	190003	177152
1035	190137	176923
1036	190349	176766
1037	190584	176629
1038	190817	176492
1039	191010	176317
1040	191214	176152
1041	191342	175917
1042	191569	175773
1043	191769	175605
1044	191963	175430
1045	192147	175246
1046	192236	174977
1047	192383	174760
1048	192550	174562
1049	192709	174356
1050	192879	174160
1051	193038	173954
1052	193208	173759
1053	193387	173571
1054	193560	173379
1055	193765	173214
1056	193951	173033
1057	194147	172860
1058	194387	172728
1059	194638	172604
1060	194851	172446
1061	195048	172274
1062	195257	172113
1063	195460	171946
1064	195668	171784
1065	195880	171625
1066	196058	171436
1067	196218	171231
1068	196363	171014
1069	196533	170818
1070	196693	170614
1071	196877	170431
1072	197077	170261
1073	197283	170097
1074	197449	169898
1075	197609	169694
1076	197761	169483
1077	197920	169279
1078	198085	169079
1079	198263	168891
1080	198447	168708
1081	198628	168522
1082	198792	168321
1083	198963	168127
1084	199153	167950
1085	199289	167726
1086	199496	167562
1087	199647	167351
1088	199835	167171
1089	200049	167013
1090	200250	166845
1091	200363	166602
1092	200536	166410
1093	200709	166218
1094	200862	166009
1095	201034	165816
1096	201223	165637
1097	201441	165482
1098	201645	165316
1099	201836	165139
1100	202038	164970
1101	202251	164811
1102	202496	164677
1103	202738	164541
1104	202969	164396
1105	203184	164238
1106	203401	164080
1107	203603	163911
1108	203778	163721
1109	203935	163516
1110	204091	163310
